,percent_time_idle,hourly_wage
1697,7.14745653574,58.1240730955
1698,10.1409978308,55.2747049144
1699,52.7922206787,27.4146019667
1700,10.6812255541,51.0956458212
1701,72.3588580731,13.6517800754
1704,22.9094315482,51.3413358208
1708,5.04670560695,61.1684231068
1712,57.9804560261,23.9340626755
1717,54.9132947977,31.2016743074
1719,10.824742268,52.1939210807
1722,50.7109004739,28.0407517568
1724,24.2320819113,45.9057126044
1725,63.126252505,21.0043867044
1726,52.0,40.0908768473
1727,41.1753941871,38.838601255
1729,45.5782312925,48.8850387051
1732,6.58336593034,56.5685464855
1733,12.7272727273,50.2200517241
1735,76.7984340166,14.4875060702
1745,12.2130642428,51.8900281026
1746,15.9420289855,52.6694077961
1747,19.1036974562,48.4437809209
1748,6.90748856015,57.7619727047
1751,18.5547957864,40.9226161268
1753,9.07029478458,52.9060849167
1757,9.7545895849,55.0613227351
1759,5.10266483822,54.037543661
1763,8.24690408203,51.8630566798
1765,12.041899211,52.541542277
1768,5.75600591014,55.559326938
1770,11.7420168379,54.8403469889
1775,52.6842948718,26.3235112732
1776,38.9880952381,34.1922044335
1782,57.0247933884,24.1037218581
1785,50.5513582239,28.9350435176
1786,8.23057702365,53.6552429463
1787,59.8672907163,35.0641298819
1788,8.31449702537,58.3765012667
1789,52.2875816993,29.2168762677
1790,59.4339622642,24.0796356539
1793,8.05802440709,64.9540419383
1794,6.04026845638,59.2016847952
1796,14.4815273014,52.3784687817
1799,10.6995124537,52.5820620746
1802,38.5928393006,36.9695368802
1805,50.4918032787,31.4055195025
1808,43.690851735,34.4720852823
1812,19.8145167644,47.7541570918
1818,6.22829667884,56.3986809907
1819,8.09728888805,68.7801245747
1822,26.1665331791,40.8010605359
1831,14.8095909732,62.622081854
1836,12.9320488884,53.4050486563
1838,13.127593251,54.83776629
1839,10.6647187728,55.6001495796
1843,5.8688365986,64.885349385
1846,5.92334494774,58.2156578157
1847,9.79899497487,58.0442713568
1848,63.3841131665,22.0253829125
1849,6.81146942468,56.5673215574
1854,19.777265745,41.7740346417
1856,11.6092476234,49.694534493
1857,7.64954601351,54.5933058267
1858,11.5432873275,52.9083182624
1860,21.772327074,48.8291313531
1866,18.673891368,48.2927779478
